season,n,skew_exante
2005,5172,0.24239234916577673
2006,5648,0.2524412754689126
2007,5374,0.23280906308367602
2008,5937,0.23918641297395835
2009,5811,0.24101125404133528
2010,5696,0.24378731426024386
2011,6025,0.23454348883906853
2012,6092,0.2274230958691406
2013,5840,0.24140441883043062
2014,5895,0.2562220104460406
2015,6001,0.2563414922217174
2016,5913,0.2554383851417753
2017,6076,0.23787098817630778
2018,5844,0.24043695041117985
2019,5786,0.2501402960157308
2020,4890,0.274790034376319
2021,6490,0.26837696688497986
2022,5773,0.24578187159519976
2023,6116,0.23388264687625143
2024,5764,0.21805653840336153
2025,2989,0.21648777471987526
