pbin,p_mid,n_leagues,reject_frac,ks_stat_med
"(0.332, 0.382]",0.3692221439618915,30,0.6,0.06091964754241164
"(0.382, 0.41]",0.3960805419439402,33,0.6060606060606061,0.05575903541112592
"(0.41, 0.438]",0.42299120116688893,33,0.5454545454545454,0.04989752779122303
"(0.438, 0.473]",0.453795565024406,33,0.5454545454545454,0.05728026794219343
"(0.473, 0.513]",0.48966028644541015,34,0.6176470588235294,0.06594750725515475
"(0.513, 0.563]",0.5354387469901566,34,0.5,0.05719270540792548
"(0.563, 0.641]",0.5954087073885497,38,0.47368421052631576,0.054960734528874844
"(0.641, 0.954]",0.7089443215078323,29,0.7241379310344828,0.07978463773042238
UNCONDITIONAL,,38,1.0,0.47375201288244767
