season,n,gamma,p_fav_dv
2005,6305,0.9615642312604197,0.49274963649092574
2006,6944,0.9170550180792968,0.4945022397598094
2007,6577,0.9600722871721733,0.49784349394974625
2008,7141,0.916791596568957,0.49290968432755455
2009,7045,0.9600693118459424,0.49534928619145263
2010,6901,0.9518572254440218,0.4962567836201325
2011,7399,0.976475140948978,0.4947021089672735
2012,10556,0.9748349416028157,0.4970551849648267
2013,11721,0.9533290818537172,0.49613644365761045
2014,11976,0.9713126043418326,0.4985403629936538
2015,12321,0.9718777593923745,0.49829952636394825
2016,12095,0.9506768664098371,0.4999683773307865
2017,12354,0.9720558432154863,0.5063847621935114
2018,12037,0.9275321286728058,0.5074913297671488
2019,11980,0.959927200899579,0.5035411586611839
2020,9549,0.9865266732769058,0.497783967537789
2021,13124,0.951428949781008,0.49515604549040565
2022,12157,0.9351362699388013,0.4995574004835008
2023,12469,0.9293511798982335,0.4994662730118608
2024,11146,0.9666075130674462,0.5027312761658241
