N,skew,skew_pred,exkurt,std,bet
1,0.1914402505975139,0.2298837920344731,-1.7004653479129272,0.9851218675372099,fav
2,0.17312516635731573,0.16255238823245396,-0.8338668805704592,0.7010535633501462,fav
5,0.13330683006981608,0.1028071571829013,-0.3276903475647388,0.44517329192012406,fav
10,0.08839075617009065,0.07269563799854079,-0.15388149501672332,0.311841250461573,fav
20,0.03683637974198933,0.05140357859145065,-0.11607018991861384,0.22240948668612223,fav
50,0.005772326558560126,0.032510477646490794,0.0023098566081536376,0.13928633932363035,fav
100,0.002389347564450527,0.02298837920344731,-0.06426406760817516,0.09906884745286987,fav
200,0.030731607879158133,0.016255238823245397,-0.14315336031859616,0.07090642997494899,fav
500,-0.01624182237700553,0.01028071571829013,-0.12640478216151863,0.044666688617030645,fav
1000,0.043304989395687665,0.007269563799854079,-0.03189989771325319,0.031304739435404884,fav
