year,n,home_win,fav_home_rate,skew
2005,6305,0.44948453608247424,0.8253766851704996,0.23329893285643594
2006,6944,0.4601094470046083,0.8074596774193549,0.23945497853006523
2007,6577,0.4529420708529725,0.8040139881404896,0.22254075029307058
2008,7141,0.4601596415067918,0.790225458619241,0.23392668216367646
2009,7045,0.44868701206529454,0.7775727466288148,0.238113752739831
2010,6901,0.46370091291117227,0.78148094479061,0.24043068898724748
2011,7399,0.4414110014866874,0.7767265846736046,0.23467568460680788
2012,10556,0.4469496021220159,0.7596627510420614,0.23011979828539075
2013,11721,0.4509854108011262,0.746352700281546,0.23419383229567564
2014,11976,0.4453907815631262,0.7419839679358717,0.23761667590050822
2015,12321,0.44184725265806346,0.7333008684360036,0.23950224957040878
2016,12095,0.45150888797023564,0.7342703596527491,0.23471506759787564
2017,12354,0.44681884409907724,0.7312611299983811,0.22421996210278763
2018,12037,0.44720445293677824,0.7201129849630307,0.22691346691912337
2019,11980,0.44691151919866445,0.7130217028380634,0.23701961418508816
2020,9549,0.4172164624568018,0.6673997277201801,0.24844743929190302
2021,13124,0.4240323072234075,0.6602407802499238,0.25343425877405185
2022,12157,0.43176770584848234,0.6879986838858271,0.24150057701650401
2023,12469,0.44550485203304196,0.6996551447590024,0.2326374572387679
2024,11146,0.43513368024403376,0.7012381123272923,0.22149041856048132
2025,3638,0.431280923584387,0.6924134139637164,0.21800479177613477
