Division,skew_start,skew_end,shift
ARG,0.32221896400142475,0.30664456289227515,-0.015574401109149594
AUT,0.1345329982642024,0.17721642062958703,0.04268342236538464
B1,0.14625413955158068,0.17728167218497062,0.031027532633389948
BRA,0.23428488207328999,0.22564570058579062,-0.00863918148749937
CHN,0.14869880966749538,0.14779652389764975,-0.0009022857698456344
D1,0.18916367713443902,0.17034961102510066,-0.018814066109338362
D2,0.25489232924207955,0.23915016629438268,-0.01574216294769687
DEN,0.22009596116595187,0.2351166862725125,0.015020725106560634
E0,0.17659277134036647,0.15806734389801894,-0.01852542744234753
E1,0.2915895490802644,0.25905323579870704,-0.03253631328155737
E2,0.28540727737030674,0.2641762699814034,-0.021231007388903322
E3,0.3031240789486771,0.28816201833889304,-0.014962060609784056
EC,0.24222409926458668,0.21352642977127362,-0.028697669493313066
F1,0.24263903630647124,0.2238654452512756,-0.018773591055195632
F2,0.3190792875484361,0.28298802663845074,-0.03609126090998538
FIN,0.22525143051574648,0.2360679980940633,0.010816567578316838
G1,0.18812116253876124,0.1726990563393138,-0.01542210619944745
I1,0.18091072350511894,0.17476150709254845,-0.006149216412570491
I2,0.31183898300556023,0.2901387275827537,-0.021700255422806514
IRL,0.12034857930906503,0.15886787742561126,0.038519298116546224
JAP,0.26369270682423906,0.26960480295879036,0.005912096134551292
MEX,0.27169621132469923,0.2558719135215223,-0.015824297803176957
N1,0.09983339690289973,0.09750956488340523,-0.002323832019494501
NOR,0.1707514497272671,0.16395127309857707,-0.006800176628690036
P1,0.2233889208012875,0.21736060512122093,-0.006028315680066565
POL,0.2763044472197488,0.2526552926852056,-0.023649154534543193
ROM,0.2507604536798582,0.2455309286964248,-0.005229524983433431
RUS,0.21418740421105245,0.23307711400439265,0.018889709793340204
SC0,0.2204554285173004,0.22676304663057698,0.00630761811327657
SC1,0.23103473089079316,0.2149457100781971,-0.016089020812596055
SC2,0.22174596915954484,0.1765499889867284,-0.045195980172816425
SC3,0.2232115959794208,0.2067530928735779,-0.016458503105842903
SP1,0.19919829008338422,0.1866504223595701,-0.01254786772381411
SP2,0.30295068743122416,0.27629525509260505,-0.02665543233861911
SUI,0.19198390056888553,0.18439216832597277,-0.007591732242912763
SWE,0.18240505557924916,0.1733591202417721,-0.009045935337477051
T1,0.20177674700117537,0.19374053561305538,-0.008036211388119996
USA,0.15532454301382156,0.16639293538942948,0.011068392375607916
