Division,n,skew_exante,skew_expost,p_fav_dv_mean,elo_entropy,elo_pfav,upset_rate,elo_disp
N1,6135,0.10063274889173841,0.10139729411071646,0.5637252898496593,0.9691538603900548,0.5365459450100277,0.45101874490627547,139.5213802347967
AUT,2306,0.14650581884001274,0.20450473716453277,0.5382996157661302,0.9985997188367954,0.5109359123464896,0.5043365134431916,118.07844234248809
CHN,2532,0.14797028244368451,0.14735192830518035,0.5501287727603912,1.0197895704594793,0.4923948719922606,0.48775671406003157,100.15775588832894
IRL,2367,0.14811255097095322,0.15432293842063063,0.5446741495814893,0.9886353026838489,0.5228141242378724,0.4811998310097169,123.42422195842408
B1,5420,0.15532473367761768,0.1452794459405304,0.5247842954141143,1.0079660852132637,0.5053043220007302,0.4802583025830258,110.48529707951903
USA,5233,0.16233550684056564,0.1436017783894549,0.5030997289258212,1.0479185441818126,0.4632688508318632,0.5090770112746035,68.20106637085043
E0,7735,0.16695804663737238,0.14460486506786638,0.5428351674461053,0.9960318178218441,0.5147615896838347,0.46373626373626375,119.97170926850077
NOR,3092,0.16736553032359283,0.16001123009527116,0.5180119822218189,1.0205667637015785,0.49214337311756784,0.4896507115135834,96.80716432182227
SWE,3110,0.17326797973560518,0.1832906594929946,0.5213332750315701,1.0146530742621183,0.4981489891564393,0.4945337620578778,102.5782810798043
D1,6273,0.1802095414344453,0.22440129441224801,0.5279339920711643,1.0089683933844373,0.5017962261380187,0.5010361868324565,109.1780534743798
I1,7726,0.18096984633015156,0.12709418123348423,0.5286429278056974,0.9965492207162595,0.5140233274661451,0.47450168263008025,118.09111962640682
G1,4039,0.182491938983735,0.15898267756836731,0.5447704123921426,0.9926677528099249,0.5152956406587164,0.46075761327061154,125.20549807674561
SUI,2272,0.1930796007592061,0.18684207651053125,0.5025241920747887,1.0150063485145835,0.4968882551204981,0.519806338028169,97.61814921495171
SP1,7351,0.19607664195017324,0.1584089407815618,0.5319088929623405,0.9960568885743969,0.5110022977505629,0.4731329070874711,117.09144133499815
SC2,3565,0.19687672517632232,0.17111892889970376,0.4991465102310449,1.0304224182662625,0.4806087386455921,0.5105189340813464,86.29368104076576
T1,6210,0.1978882646427065,0.14390469966234906,0.5105924430102081,1.0171279959747066,0.49529043705295556,0.4855072463768116,102.14419650658073
SC3,3566,0.20887195413809265,0.21024958550204456,0.49806184827106803,1.0269594932805823,0.4838086923426928,0.5100953449242849,88.85135720380799
SC0,4539,0.2162315505001126,0.22342938224254852,0.5346462983463758,0.9836821762963893,0.5214433337373493,0.4822648160387751,131.98678248959888
P1,5491,0.2172971145052108,0.17411763787156287,0.5349514123697344,0.9673887461321862,0.5324242769609632,0.46476051720997996,139.8376690307574
SC1,3549,0.21777187066573214,0.2788829704365914,0.49592809261717824,1.0348975376862621,0.47665621257284707,0.5418427726120034,79.87831472018046
DEN,2634,0.22333150994287856,0.19485985294867528,0.49401749212986407,1.0230465258869632,0.4902631496622073,0.520501138952164,97.3482357703763
EC,7096,0.22583090084913496,0.2438915480801523,0.48627674284696554,1.0356588719458537,0.4760774872167685,0.540304396843292,81.66164251855005
RUS,3004,0.2269201830059287,0.17627722738753904,0.5161552264713584,1.0177433156578912,0.49570441900951123,0.4960053262316911,99.07735134703377
BRA,4849,0.2286178433224453,0.18266656972752165,0.501314579322712,1.0407840031186395,0.47138531321291705,0.5075273252216952,78.05644848195668
FIN,2354,0.22881581100567555,0.18567956609395472,0.5012227930711941,1.0251971810514435,0.4875157801366877,0.5076465590484283,94.0283251524405
F1,7539,0.23406251782738252,0.2130308652769164,0.5024708427924498,1.0227154065509911,0.48883098614908027,0.5051067780872794,96.79563348335898
D2,6238,0.24495154040633485,0.27210201092590625,0.4778814182943533,1.048391302722131,0.4631341334059944,0.5413594100673292,67.90350393433425
ROM,3639,0.2494889923515139,0.25289821756682823,0.501958902722623,1.0227132281702476,0.4897564143999632,0.5149766419345975,99.50097500571857
MEX,4080,0.2606802635969845,0.24164219081842697,0.4774410726719191,1.040071863987634,0.47231779086725734,0.5360294117647059,77.03466476315803
JAP,4089,0.26525144657671296,0.24516079138315885,0.474003960749702,1.0300328680297055,0.48320095240199995,0.5456101736365859,87.24778071090176
POL,3567,0.2672483132485394,0.29444560189929864,0.47552380237859454,1.0423528761138565,0.470253545467902,0.5449957947855341,74.3384332053396
E2,11019,0.26907666720715334,0.25583204032514917,0.47120234959874535,1.0448416231285005,0.4670306017171057,0.5367093202649968,73.01006187619639
E1,11181,0.2759582803460483,0.2987170410841858,0.4697629442813914,1.0469747301528587,0.4645352025388858,0.5510240586709597,70.37761113655067
E3,11090,0.2942142497438685,0.3254961476231662,0.45873702237570063,1.0466787309552334,0.4647067990117269,0.560234445446348,69.96697807340936
SP2,8997,0.2953402312298991,0.2852632955673194,0.4622116932627242,1.0547263182885087,0.45493834842818587,0.545515171723908,60.34731004569471
I2,8636,0.3032958184158112,0.33493083053531414,0.4646042693042957,1.0519104431660693,0.4587221513667095,0.5589393237610004,63.779457234616864
F2,7582,0.30465239833745344,0.2784800563175029,0.4593535756386427,1.0547719100888766,0.4548510239578474,0.5539435505143762,60.17818350076786
ARG,5330,0.3134405699021942,0.30823528603951306,0.4644123392357087,1.04504352598167,0.4665414958743775,0.5534709193245778,71.6054706344996
