Division,n,seasons,skew_emp,pfav_emp,skew_poisson,pfav_poisson,skew_dixoncoles,pfav_dixoncoles,skew_btd,pfav_btd,skew_elo,pfav_elo
ARG,5286,13,0.3125684972950058,0.46470498562762247,0.25565977379033455,0.491714391552913,0.27597181414581745,0.48500107766680967,0.2696295047335069,0.49998758540085153,0.27954655969428954,0.4665414958743774
AUT,2224,12,0.14529398624249124,0.5392135838216272,0.09998436999294102,0.5565772451509309,0.13576302201850668,0.5497717404215824,0.15301316356667982,0.5506347822467103,0.22762218203624576,0.5109359123464896
B1,5362,20,0.1532565797694342,0.5249651289128254,0.12649784059849808,0.5469593009310241,0.1575025991299564,0.5407762117090639,0.13162189452924083,0.5579279475622669,0.22130296000446692,0.50530432200073
BRA,4605,12,0.22852536793322734,0.5021485806147691,0.21983123542157448,0.5109175115350105,0.21414690912933965,0.5117829216713835,0.19611592829874866,0.5342681651451225,0.27351948018020333,0.47138531321291705
CHN,2179,9,0.1493640791330696,0.5481621144078791,0.1174355253138209,0.5578458569947378,0.17621775444703253,0.5466658942593378,0.16232309842320133,0.5686517758005016,0.24594272522452185,0.4923948719922606
D1,6273,21,0.17852712342685373,0.5277636888435024,0.12073377217247605,0.5508462115749205,0.1764545174085564,0.5401811284833214,0.13960860053546545,0.5520678004709135,0.23697174554260228,0.5017962261380187
D2,6119,20,0.24176106049804164,0.4776581917164841,0.1803054558363003,0.5103557988037692,0.22504153105211847,0.500789467484407,0.22576606406928104,0.5050951109209108,0.2832981309567484,0.4631341334059944
DEN,2541,12,0.22185652739103365,0.4928140732840686,0.16140294786107387,0.5232665895800857,0.1932198787686811,0.5168638206137022,0.18707182560106264,0.5294342998985504,0.24342524621756736,0.4902631496622073
E0,7600,20,0.16559945915725063,0.5434244671347992,0.13757967902989815,0.5555737052534689,0.15835482359477746,0.5514817000842616,0.11630952295372295,0.5736749068033157,0.21842466367119112,0.5147615896838347
E1,11036,20,0.27367622885811954,0.4697507893994607,0.22336373629462208,0.4955580707887558,0.23877653791689188,0.4918419439445544,0.23495082272712642,0.4996778208552282,0.28158346564196324,0.4645352025388858
E2,10882,20,0.26492540516200164,0.47121710743702805,0.2074742674273323,0.502025156066072,0.21949090590826845,0.49951824838925996,0.20416450250049376,0.5101326761742291,0.2782889930944723,0.46703060171710575
E3,11090,21,0.28719350136338406,0.4592300741865502,0.23435949833804223,0.4864812866260501,0.2513258459707406,0.48272969029765717,0.24580518761134432,0.4875931021334594,0.28355307033719496,0.4647067990117269
EC,7096,14,0.22767248901149362,0.48488385109945914,0.18688431165757666,0.5134455279416519,0.19194595306501155,0.5122923651581511,0.1786319644063366,0.5207458491710617,0.2714377354218546,0.4760774872167684
F1,7539,21,0.23283022325792363,0.5022572983809709,0.21017047635048108,0.5211774013833999,0.24399581399292716,0.5129737169118146,0.20207234258077758,0.5319581820117039,0.25096214514525783,0.48883098614908027
F2,7582,21,0.30132224610457425,0.4592940995384615,0.2424991944368775,0.491979111324541,0.27325534824247405,0.48412810530810674,0.26073306340471913,0.4975646661018532,0.2992766329266754,0.45485102395784743
FIN,2059,11,0.23083933931013847,0.500609526644157,0.18718296416374366,0.5183305482349133,0.2144829206360939,0.5126478597038189,0.16438908261201526,0.5357485554955385,0.24996683809524758,0.4875157801366877
G1,4039,17,0.18012209071886656,0.5447223230927473,0.20556151127940336,0.549204813516347,0.2099816037825476,0.5468159834686832,0.14527664831666212,0.5850515645192627,0.22496143188565634,0.5152956406587164
I1,7594,20,0.17989037033700242,0.5288132094258392,0.14416773040974012,0.5425330094385049,0.18351099911062163,0.5347244223748097,0.16681650011187246,0.559377197162666,0.21848543816117946,0.5140233274661451
I2,8578,20,0.30110074845450685,0.4636096314379062,0.2485432297305959,0.4875822747892786,0.3025261270430242,0.4746299333159919,0.30197114813441556,0.4869261510069764,0.2907606505431086,0.45872215136670946
IRL,2104,11,0.15194808613125488,0.5437906815227488,0.13685048452447365,0.5618669078300259,0.1473494564457705,0.559414497527354,0.1088002325950226,0.575451913448217,0.19576591210841485,0.5228141242378724
JAP,3288,11,0.2642214877110758,0.47292161595156706,0.2025249425293273,0.5104551487270925,0.18326552261493784,0.5144162528073942,0.15083278190913452,0.5306437006456997,0.25137660556595703,0.48320095240199995
MEX,3925,12,0.26198968554622415,0.476234889361095,0.20450069803890092,0.500902568526178,0.23042974400713787,0.4953677798989331,0.22221838570618316,0.5050937921629011,0.27120083136054135,0.4723177908672573
N1,6014,20,0.09860871822223498,0.5642044272051477,0.07581547997816249,0.5824424677035992,0.12387115280651673,0.574104577150562,0.08763564253627446,0.5912628240193256,0.19821114580064672,0.5365459450100277
NOR,2882,12,0.16473375385687683,0.5185663166673622,0.12115495310994044,0.5449678717266023,0.14886687366878779,0.5395819825309127,0.11835018725144562,0.5602072710734989,0.24162707364584618,0.49214337311756784
P1,5491,20,0.21321811815364514,0.5339216695887021,0.21017971665848062,0.5470300678402169,0.20402776763467712,0.5475836605250113,0.18882776877837784,0.573948977248715,0.2292325653915567,0.5324242769609632
POL,3432,12,0.2669743723823428,0.47514929701346736,0.21127322422262404,0.49920162038241983,0.24970062600612788,0.4909211364186541,0.23738959475469726,0.5015914442389727,0.2684981591119627,0.4702535454679019
ROM,3496,12,0.24420761337039973,0.5024836001230218,0.21143410817812272,0.5205703513315699,0.23772807884665684,0.514957971078825,0.22971952215363,0.5310765137232548,0.25054855557668504,0.4897564143999632
RUS,2880,12,0.223237917862538,0.5167286815001737,0.1785363176755833,0.5413344820445823,0.185542804693418,0.5389080040805999,0.16539188576403796,0.5560407735303016,0.23618753054171732,0.4957044190095113
SC0,4483,20,0.2110557873351358,0.5348522336486543,0.17521339663856614,0.5500394926242601,0.18053553730174257,0.5488146201141716,0.13343249163233123,0.566701819713598,0.23025464659068684,0.5214433337373492
SC1,3216,18,0.20541940060277367,0.4965244154284478,0.18287169392793873,0.5218076934819216,0.2027512066762437,0.517352813372044,0.2042757202416293,0.5203320350163013,0.2694379990836773,0.47665621257284707
SC2,3224,18,0.19236212580041565,0.4992123052173035,0.13208587555747683,0.5349352753164137,0.12782626921990423,0.5356758438976754,0.09031430290983494,0.5518228274426473,0.26628135565944755,0.4806087386455921
SC3,3227,18,0.2036488540203966,0.4946559588252938,0.1559141487748073,0.5224809993432885,0.1341151303559352,0.5266182197806797,0.07467394960646133,0.541660034996604,0.2611302380080107,0.4838086923426928
SP1,7220,19,0.19216368996777128,0.5323912549437203,0.17870861136535637,0.5428621439486294,0.1949645708773722,0.539400726995382,0.14102468996690493,0.5624507788018069,0.2369453254408409,0.5110022977505629
SP2,8997,20,0.29405126300209716,0.46202291849824306,0.25767212596626426,0.484228582448403,0.28342063811316,0.4778920808167732,0.26789328550450986,0.49153380672852365,0.29920923670402017,0.45493834842818587
SUI,2189,12,0.19016816025217456,0.5032505258066952,0.1355154484031738,0.5341094978981263,0.16238038400058094,0.5288412167627136,0.17566724297128514,0.5362930575670656,0.24057359252567254,0.4968882551204981
SWE,2893,12,0.171112702966604,0.5222222557549717,0.12921486654973038,0.5465083264755698,0.16706639771302487,0.5389385263156677,0.15048493870492272,0.557306372566348,0.2350850180624644,0.4981489891564393
T1,6210,20,0.1870744752878601,0.5127365228010732,0.16427739628703147,0.5291248417473493,0.20248904960094896,0.521340235420382,0.1609768385037136,0.5517583883347517,0.24120151467532588,0.49529043705295556
USA,5233,14,0.16357359413911743,0.5024266937433363,0.1423004991315333,0.5221803922054599,0.1611697614664259,0.5182851129792209,0.13992490071974034,0.5370776089415357,0.2856240140315588,0.4632688508318632
