Division,n,skew_exante,p_fav_dv_mean,noll_scully,closed
USA,5233,0.16233550684056564,0.5030997289258212,1.1283029762551675,True
POL,3567,0.2672483132485394,0.47552380237859454,1.1894422290625153,False
SP2,8997,0.2953402312298991,0.4622116932627242,1.1967944636160994,False
ARG,5330,0.3134405699021942,0.4644123392357087,1.2032186170444323,False
F2,7582,0.30465239833745344,0.4593535756386427,1.2340577776440906,False
D2,6238,0.24495154040633485,0.4778814182943533,1.2502452512437017,False
MEX,4080,0.2606802635969845,0.4774410726719191,1.2551553235630506,False
E3,11090,0.2942142497438685,0.45873702237570063,1.2883467474176302,False
I2,8636,0.3032958184158112,0.4646042693042957,1.3162676663773714,False
BRA,4849,0.2286178433224453,0.501314579322712,1.3386762211030698,False
DEN,2634,0.22333150994287856,0.49401749212986407,1.3690988771966188,False
NOR,3092,0.16736553032359283,0.5180119822218189,1.3830355233053455,False
FIN,2354,0.22881581100567555,0.5012227930711941,1.4039889442333335,False
E1,11181,0.2759582803460483,0.4697629442813914,1.4063891269336513,False
JAP,4089,0.26525144657671296,0.474003960749702,1.4066165541231148,False
ROM,3639,0.2494889923515139,0.501958902722623,1.4231623332170846,False
SC1,3549,0.21777187066573214,0.49592809261717824,1.4785161724655158,False
E2,11019,0.26907666720715334,0.47120234959874535,1.4825944427025948,False
SWE,3110,0.17326797973560518,0.5213332750315701,1.4977163424468671,False
SUI,2272,0.1930796007592061,0.5025241920747887,1.4992020373622172,False
SC3,3566,0.20887195413809265,0.49806184827106803,1.5175107153397753,False
RUS,3004,0.2269201830059287,0.5161552264713584,1.520773905389792,False
CHN,2532,0.14797028244368451,0.5501287727603912,1.5366883337233659,False
F1,7539,0.23406251782738252,0.5024708427924498,1.5384003060596272,False
AUT,2306,0.14650581884001274,0.5382996157661302,1.5467250111824589,False
EC,7096,0.22583090084913496,0.48627674284696554,1.5634085866843914,False
B1,5420,0.15532473367761768,0.5247842954141143,1.58048317623112,False
T1,6210,0.1978882646427065,0.5105924430102081,1.5864622599334193,False
D1,6273,0.1802095414344453,0.5279339920711643,1.598271454355432,False
SC2,3565,0.19687672517632232,0.4991465102310449,1.5984892811843088,False
G1,4039,0.182491938983735,0.5447704123921426,1.7080871889929679,False
IRL,2367,0.14811255097095322,0.5446741495814893,1.7253615323871225,False
SP1,7351,0.19607664195017324,0.5319088929623405,1.7272124616696842,False
I1,7726,0.18096984633015156,0.5286429278056974,1.7946429140426456,False
E0,7735,0.16695804663737238,0.5428351674461053,1.8408294170794353,False
N1,6135,0.10063274889173841,0.5637252898496593,1.8439848072841423,False
P1,5491,0.2172971145052108,0.5349514123697344,1.8478934423075735,False
SC0,4539,0.2162315505001126,0.5346462983463758,1.8595273767695122,False
