Division,n,seasons,skew_poisson,pfav_poisson,skew_emp,pfav_emp
ARG,5286,13,0.25565983729647235,0.4917144773718435,0.3125684972950058,0.46470498562762247
AUT,2224,12,0.09998568081616989,0.5565784114425351,0.14529398624249124,0.5392135838216272
B1,5362,20,0.1264981030186608,0.5469596099542218,0.1532565797694342,0.5249651289128254
BRA,4605,12,0.21983131792247312,0.5109175984420542,0.22852536793322734,0.5021485806147691
CHN,2179,9,0.1174367878331326,0.5578468999866174,0.1493640791330696,0.5481621144078791
D1,6273,21,0.12073440626411573,0.5508468854554552,0.17852712342685373,0.5277636888435024
D2,6119,20,0.1803054963417742,0.5103559296404386,0.24176106049804164,0.4776581917164841
DEN,2541,12,0.16140320724472818,0.5232668860094595,0.22185652739103365,0.4928140732840686
E0,7600,20,0.13758018140543485,0.5555741385618317,0.16559945915725063,0.5434244671347992
E1,11036,20,0.22336377200944701,0.4955581342101355,0.27367622885811954,0.4697507893994607
E2,10882,20,0.20747430274566328,0.5020252276742053,0.26492540516200164,0.47121710743702805
E3,11090,21,0.23435951495510168,0.48648133668681987,0.28719350136338406,0.4592300741865502
EC,7096,14,0.1868844529436568,0.5134457113990022,0.22767248901149362,0.48488385109945914
F1,7539,21,0.21017082785238259,0.5211777060903948,0.23283022325792363,0.5022572983809709
F2,7582,21,0.2424992186283478,0.4919791519129145,0.30132224610457425,0.4592940995384615
FIN,2059,11,0.1871831067599566,0.5183307180296572,0.23083933931013847,0.500609526644157
G1,4039,17,0.20556184131688005,0.5492050534525881,0.18012209071886656,0.5447223230927473
I1,7594,20,0.14416796649239988,0.5425332654573124,0.17989037033700242,0.5288132094258392
I2,8578,20,0.2485432459981871,0.48758231168602606,0.30110074845450685,0.4636096314379062
IRL,2104,11,0.1368508833977187,0.561867241783104,0.15194808613125488,0.5437906815227488
JAP,3288,11,0.20252514305718455,0.5104554319954372,0.2642214877110758,0.47292161595156706
MEX,3925,12,0.20450072966170751,0.5009026571680354,0.26198968554622415,0.476234889361095
N1,6014,20,0.0758171810146493,0.5824438587538776,0.09860871822223498,0.5642044272051477
NOR,2882,12,0.12115584233392607,0.5449687257633781,0.16473375385687683,0.5185663166673622
P1,5491,20,0.21018020182925218,0.5470304262990945,0.21321811815364514,0.5339216695887021
POL,3432,12,0.2112732796080333,0.49920171791802576,0.2669743723823428,0.47514929701346736
ROM,3496,12,0.21143436213203973,0.5205705672071727,0.24420761337039973,0.5024836001230218
RUS,2880,12,0.17853666851635588,0.5413347993022756,0.223237917862538,0.5167286815001737
SC0,4483,20,0.17521393218343437,0.5500399083215106,0.2110557873351358,0.5348522336486543
SC1,3216,18,0.1828718839818617,0.5218079059815026,0.20541940060277367,0.4965244154284478
SC2,3224,18,0.13208615966489162,0.5349356839932106,0.19236212580041565,0.4992123052173035
SC3,3227,18,0.15591426426551278,0.5224812500128687,0.2036488540203966,0.4946559588252938
SP1,7220,19,0.17870974171460302,0.5428629960958682,0.19216368996777128,0.5323912549437203
SP2,8997,20,0.2576721459671809,0.48422862174726794,0.29405126300209716,0.46202291849824306
SUI,2189,12,0.13551570920996192,0.5341098696496528,0.19016816025217456,0.5032505258066952
SWE,2893,12,0.12921532977678762,0.546508777111977,0.171112702966604,0.5222222557549717
T1,6210,20,0.16427766928430287,0.5291251539744487,0.1870744752878601,0.5127365228010732
USA,5233,14,0.1423006543513212,0.5221806853903078,0.16357359413911743,0.5024266937433363
