Division,n,p_fav_dv,ret_mean,vig,flb,flb_syst,residual,skew_exante
AUT,2306,0.5382996157661302,-0.0780745880312229,-0.0475398538986388,-0.030534734132584097,0.004889896963791725,-0.03542463109637582,0.14650581884001274
SC1,3549,0.49592809261717824,-0.08731755424063116,-0.05818159507900711,-0.029135959161624057,0.002012422819968288,-0.031148381981592345,0.21777187066573214
D1,6273,0.5279339920711643,-0.06180296508847442,-0.042410862515100865,-0.019392102573373548,0.004181216965704281,-0.02357331953907783,0.1802095414344453
I2,8636,0.4646042693042957,-0.0774177860120426,-0.05780471180420317,-0.019613074207839445,-0.0018759188938044166,-0.017737155314035028,0.3032958184158112
E3,11090,0.45873702237570063,-0.06257889990982868,-0.0458880062814561,-0.016690893628372575,-0.0010592851229116104,-0.015631608505460963,0.2942142497438685
POL,3567,0.47552380237859454,-0.06906644238856181,-0.053296769368786835,-0.01576967301977499,-0.0003161517426985836,-0.015453521277076405,0.2672483132485394
CHN,2532,0.5501287727603912,-0.06453791469194314,-0.05489363162250832,-0.009644283069434824,0.005174901619857053,-0.014819184689291876,0.14797028244368451
E1,11181,0.4697629442813914,-0.0565718629818442,-0.04147308404127546,-0.015098778940568741,-0.0004439122598293727,-0.014654866680739368,0.2759582803460483
EC,7096,0.48627674284696554,-0.06563134160090192,-0.05375173743636951,-0.011879604164532412,0.0015006469375046672,-0.01338025110203708,0.22583090084913496
SC0,4539,0.5346462983463758,-0.05796210619079093,-0.049766575190300776,-0.008195531000490155,0.004699966375160345,-0.0128954973756505,0.2162315505001126
SWE,3110,0.5213332750315701,-0.05496784565916398,-0.04535704431679237,-0.009610801342371623,0.003279958693548635,-0.012890760035920257,0.17326797973560518
IRL,2367,0.5446741495814893,-0.05966624419095903,-0.05231881060196045,-0.007347433588998578,0.004570201381666728,-0.011917634970665305,0.14811255097095322
D2,6238,0.4778814182943533,-0.06367104841295287,-0.053220971658094834,-0.010450076754858035,0.0005477592277797963,-0.010997835982637831,0.24495154040633485
ROM,3639,0.501958902722623,-0.06910140148392416,-0.0602710137063359,-0.008830387777588274,0.000501854143125853,-0.009332241920714126,0.2494889923515139
N1,6135,0.5637252898496593,-0.050660146699266495,-0.04902854026106445,-0.0016316064382020574,0.006829438045491557,-0.008461044483693614,0.10063274889173841
NOR,3092,0.5180119822218189,-0.0483085381630013,-0.04630606662885023,-0.0020024715341510676,0.003204926749527305,-0.005207398283678373,0.16736553032359283
SC3,3566,0.49806184827106803,-0.059896242288278174,-0.060375394276579133,0.00047915198830094784,0.0025267638244164314,-0.0020476118361154837,0.20887195413809265
G1,4039,0.5447704123921426,-0.05239663282990839,-0.05536994173748202,0.0029733089075736226,0.0045885936301906455,-0.001615284722617023,0.182491938983735
ARG,5330,0.4644123392357087,-0.05533771106941839,-0.05408665329455181,-0.001251057774866578,-0.002370096063010406,0.0011190382881438277,0.3134405699021942
B1,5420,0.5247842954141143,-0.04736162361623616,-0.05268141960559311,0.005319795989356942,0.0039709347530319915,0.0013488612363249507,0.15532473367761768
USA,5233,0.5030997289258212,-0.04232371488629849,-0.047251422726341204,0.004927707840042712,0.0022055071361941105,0.002722200703848602,0.16233550684056564
SUI,2272,0.5025241920747887,-0.04463028169014085,-0.050513268191309024,0.0058829865011681805,0.0023664811994277275,0.003516505301740453,0.1930796007592061
SP2,8997,0.4622116932627242,-0.05476492164054685,-0.057098610081518605,0.0023336884409717513,-0.0017332345515250571,0.004066922992496808,0.2953402312298991
E0,7735,0.5428351674461053,-0.01998060762766645,-0.032395072023475024,0.012414464395808575,0.00519860135504339,0.007215863040765185,0.16695804663737238
E2,11019,0.47120234959874535,-0.03740176059533532,-0.04481853020155141,0.007416769606216076,-0.0001955298089607276,0.007612299415176803,0.26907666720715334
MEX,4080,0.4774410726719191,-0.04776470588235294,-0.05552810797447094,0.007763402092118002,-0.0005309063952849102,0.008294308487402912,0.2606802635969845
JAP,4089,0.474003960749702,-0.044431401320616286,-0.05290571264501298,0.008474311324396695,-0.0003111473558375305,0.008785458680234226,0.26525144657671296
SC2,3565,0.4991465102310449,-0.046917251051893406,-0.059664088432736656,0.012746837380843246,0.0027559145023955734,0.009990922878447673,0.19687672517632232
F1,7539,0.5024708427924498,-0.03425653269664412,-0.04663162339256839,0.012375090695924282,0.0016204638037534192,0.010754626892170863,0.23406251782738252
DEN,2634,0.49401749212986407,-0.03255125284738041,-0.046785890041695255,0.01423463719431485,0.0013613777909291646,0.012873259403385686,0.22333150994287856
F2,7582,0.4593535756386427,-0.047367449221841204,-0.05832179501404016,0.010954345792198951,-0.00202202822492825,0.012976374017127201,0.30465239833745344
SP1,7351,0.5319088929623405,-0.021930349612297645,-0.04127055330765272,0.019340203695355062,0.00399131859699831,0.015348885098356753,0.19607664195017324
P1,5491,0.5349514123697344,-0.02977963940994354,-0.051539894960229704,0.02176025555028615,0.00441480529018069,0.01734545026010546,0.2172971145052108
FIN,2354,0.5012227930711941,-0.031108751062022093,-0.05142958461140762,0.02032083354938552,0.001511113730083812,0.01880971981930171,0.22881581100567555
BRA,4849,0.501314579322712,-0.028482161270365028,-0.049656666719688464,0.02117450544932343,0.0005028396064710182,0.02067166584285241,0.2286178433224453
I1,7726,0.5286429278056974,-0.016744757960134606,-0.04264167997173885,0.025896922011604234,0.003704111237482345,0.02219281077412189,0.18096984633015156
RUS,3004,0.5161552264713584,-0.01904793608521971,-0.0470413682937899,0.027993432208570184,0.0018561585069709137,0.02613727370159927,0.2269201830059287
T1,6210,0.5105924430102081,-0.023436392914653784,-0.05316176239630256,0.02972536948164877,0.002909492449769594,0.026815877031879178,0.1978882646427065
