Division,n,skew_soft,skew_sharp,over_soft,over_sharp,p_fav,d_skew
ARG,5330,0.3134405699021942,0.3379383977000295,1.070934362246104,0.9995306793169701,0.4644123392357087,0.02449782779783527
AUT,2306,0.14650581884001274,0.1684705077084567,1.0675277596277455,0.9962494632034913,0.5382996157661302,0.021964688868443966
B1,5362,0.15524360699110032,0.1771992012442886,1.074223866353601,1.0172128942784793,0.5245150808608967,0.02195559425318827
BRA,4848,0.22868086521682407,0.24703172555247793,1.0678807637528722,0.9984764461544686,0.501296381818013,0.018350860335653862
CHN,2532,0.14797028244368451,0.18877519756688627,1.0792349614889343,0.9962965892639541,0.5501287727603912,0.04080491512320175
D1,6120,0.18080031271866656,0.19721247353723853,1.0578432421052464,1.0037187279949573,0.5281128104602092,0.01641216081857197
D2,6115,0.24504849589629554,0.2654742615991203,1.0706387626075289,1.013050074748348,0.47770551994560734,0.020425765702824755
DEN,2634,0.22333150994287856,0.2425186478571996,1.0632705650823224,0.9992153190392298,0.49401749212986407,0.01918713791432103
E0,7600,0.1664747993845466,0.1822655963880243,1.044945991933102,1.0035209306626416,0.5433572300375632,0.015790797003477713
E1,11036,0.2763065550668172,0.2881739796459068,1.0539972941981648,1.011788621069015,0.46965114317696277,0.01186742457908957
E2,10881,0.2693233409621797,0.2795809929482349,1.0589526501284705,1.0147295180759968,0.47110707688292863,0.010257651986055216
E3,10917,0.29469277209711064,0.30426373111414884,1.0593654410194286,1.015984548508457,0.45845207923910486,0.009570959017038194
EC,7096,0.22583090084913496,0.24766096426147663,1.0728785503885983,1.0182270151067379,0.48627674284696554,0.02183006341234167
F1,7349,0.2329209416214723,0.24917376362067492,1.0621494111236882,1.0069602564197049,0.5031306258131032,0.01625282199920261
F2,7382,0.3050156683408551,0.3221844150915662,1.0757423018261836,1.0144140216446502,0.45928588734978976,0.017168746750711117
FIN,2354,0.22881581100567555,0.24810785867430066,1.070337184220373,1.002147186430213,0.5012227930711941,0.019292047668625106
G1,4035,0.18270921764734263,0.2084103222290469,1.0798864188553035,1.0195549276694527,0.5447759177095544,0.02570110458170427
I1,7593,0.18072252946167966,0.197346716997928,1.0587082054131591,1.0043641542218518,0.5289537753932508,0.016624187536248336
I2,8574,0.30351643778342835,0.3235748806331182,1.076395964550266,1.0168064624923898,0.4643879621773205,0.020058442849689828
IRL,2367,0.14811255097095322,0.17958975748833628,1.0750972820198696,1.000536851527745,0.5446741495814893,0.03147720651738306
JAP,4089,0.26525144657671296,0.27683443089932064,1.0703873048366033,1.0003548120705175,0.474003960749702,0.011582984322607681
MEX,4080,0.2606802635969845,0.27935747384057996,1.0743183300921126,1.0005018987866763,0.4774410726719191,0.018677210243595477
N1,6014,0.10012419422670399,0.1252389009765017,1.0708559760867877,1.0130417234089502,0.564173173084304,0.02511470674979771
NOR,3092,0.16736553032359283,0.18520903058692936,1.0644618115481055,0.9997644407284468,0.5180119822218189,0.01784350026333653
P1,5317,0.218322904695256,0.24356121600818956,1.0712861768913748,1.0153931908543434,0.5357312051644765,0.025238311312933553
POL,3567,0.2672483132485394,0.28518675835167623,1.07096677531855,1.000298985281547,0.47552380237859454,0.017938445103136802
ROM,3639,0.2494889923515139,0.2756972290499633,1.0830785981398066,1.003591119153191,0.501958902722623,0.026208236698449405
RUS,3004,0.2269201830059287,0.2425032628781418,1.0649954687420615,0.9904036905288561,0.5161552264713584,0.015583079872213107
SC0,4478,0.2161478762750118,0.2468414638018942,1.0697961864362346,1.0138884166847164,0.5344439249756338,0.030693587526882393
SC1,3487,0.2175300787223944,0.2392175568939791,1.0794013651834422,1.0224329735855666,0.49624827100063895,0.0216874781715847
SC2,3471,0.19571402449915468,0.2164718548171824,1.0817864368161498,1.0243320808498049,0.4998158890962785,0.02075783031802772
SC3,3472,0.20929056912702584,0.24198487006594674,1.0827713206575824,1.0241418673845166,0.49651950320336774,0.032694300938920895
SP1,7220,0.1958370066932242,0.21211384314005546,1.0567456737753647,1.0033471641774279,0.5323648375333695,0.016276836446831255
SP2,8727,0.2937056372279587,0.3110005864262728,1.0737913147469675,1.0163955940128664,0.46258794502480083,0.01729494919831409
SUI,2272,0.1930796007592061,0.21074600613436797,1.0694390202738022,0.9985809716769062,0.5025241920747887,0.01766640537516187
SWE,3110,0.17326797973560518,0.1936146930728638,1.0631946354363875,0.9987300331092036,0.5213332750315701,0.020346713337258626
T1,6057,0.19975391788161873,0.21892774067945925,1.0730515212559646,1.012764530385421,0.5092614602763138,0.019173822797840523
USA,5233,0.16233550684056564,0.18022564427376503,1.0650691210949264,0.9979165183943581,0.5030997289258212,0.017890137433199393
