season,n,z,overround,p_fav
2005,6305,0.0574540911862921,1.1134714023230754,0.49274963649092574
2006,6944,0.05475950710844567,1.1081067526012882,0.4945022397598094
2007,6577,0.0493818545593351,1.0975612949381246,0.49784349394974625
2008,7141,0.04046402042627581,1.0801649229521155,0.49290968432755455
2009,7045,0.03601110359470234,1.0713802290274985,0.49534928619145263
2010,6901,0.03383122796012305,1.0670734854429507,0.4962567836201325
2011,7399,0.03352251663721647,1.0664971935606522,0.4947021089672735
2012,10556,0.034979498840550745,1.0693627946024327,0.4970551849648267
2013,11721,0.031965915453789066,1.0634044861092657,0.49613644365761045
2014,11976,0.03152694975285949,1.062492825128296,0.4985403629936538
2015,12321,0.030437864901291863,1.0603640874858589,0.49829952636394825
2016,12095,0.030308694045850355,1.0601057682421873,0.4999683773307865
2017,12354,0.02987138772269344,1.0592041729385377,0.5063847621935114
2018,12037,0.029323698256482632,1.0581045599341157,0.5074913297671488
2019,11980,0.03160578012266591,1.062648376757763,0.5035411586611839
2020,9549,0.03276200293566097,1.0650106224417675,0.497783967537789
2021,13124,0.03193584288131762,1.0634001973216716,0.49515604549040565
2022,12157,0.03164304877367605,1.0627661028238498,0.4995574004835008
2023,12469,0.03148400740040191,1.062486629517647,0.4994662730118608
2024,11146,0.0321523844571868,1.063807371366671,0.5027312761658241
2025,3638,0.03239115790985586,1.0642426035400978,0.5084810250338397
