date,HomeTeam,AwayTeam,neutral,FTResult,elo_diff,pH_elo,pD_elo,pA_elo,elo_entropy,elo_pfav,elo_upset,p_fav,fav_pick,o_fav,skew_exante_match,ret_fav
2022-12-03,Netherlands,United States,True,H,160.07758657558202,0.6238372782463296,0.22685524947920957,0.14930747227446084,0.9148394024213221,0.6238372782463296,False,0.6238372782463296,H,1.6029821154822652,-0.5112788825771201,0.6029821154822652
2022-12-03,Argentina,Australia,True,H,265.2729043731197,0.7389829093551248,0.1740644138459844,0.08695267679889077,0.7402223772988447,0.7389829093551248,False,0.7389829093551248,H,1.3532112682722965,-1.0882913316931102,0.35321126827229654
2022-12-04,France,Poland,True,H,178.32761875152278,0.6453993641106965,0.21813264456925582,0.13646799132004775,0.8865499779866861,0.6453993641106965,False,0.6453993641106965,H,1.5494282387121838,-0.6078668800016187,0.5494282387121838
2022-12-04,England,Senegal,True,H,176.10309039160188,0.6428026434010121,0.2192124212107717,0.13798493538821613,0.890061980169782,0.6428026434010121,False,0.6428026434010121,H,1.555687441963661,-0.5960371057403009,0.555687441963661
2022-12-05,Brazil,South Korea,True,H,315.02546868501963,0.7847985205108229,0.14896799046979536,0.06623348901938182,0.6536128402878485,0.7847985205108229,False,0.7847985205108229,H,1.274212391925896,-1.3860088722847663,0.2742123919258961
2022-12-05,Japan,Croatia,True,D,-40.13618342882205,0.3682838815575248,0.2817095835518995,0.3500065348905757,1.0922091264137923,0.3682838815575248,True,0.3682838815575248,H,2.715296677581593,0.5461558434395594,-1.0
2022-12-06,Morocco,Spain,True,D,-188.41116884985377,0.20250720091241917,0.25048902357010383,0.5470037755174769,1.0001690801887737,0.5470037755174769,True,0.5470037755174769,A,1.8281409466579628,-0.18885143360888668,-1.0
2022-12-06,Portugal,Switzerland,True,H,117.41260195897371,0.5713939706824742,0.24569160139057572,0.18291442792694998,0.9753911050347039,0.5713939706824742,False,0.5713939706824742,H,1.7501059712016174,-0.28853238622879424,0.7501059712016174
2022-12-09,Croatia,Brazil,True,D,-256.5155034807385,0.1448132734522144,0.21895170226150149,0.6362350242862841,0.9000881620423452,0.6362350242862841,True,0.6362350242862841,A,1.5717462287175723,-0.5663690879307078,-1.0
2022-12-09,Netherlands,Argentina,True,D,-68.01889615724212,0.333778591843864,0.2807408562447295,0.38548055191140645,1.0903442847789655,0.38548055191140645,True,0.38548055191140645,A,2.5941645954419674,0.47058728652840315,-1.0
2022-12-10,Morocco,Portugal,True,H,-145.52763322258602,0.2453498936494617,0.2657224703286113,0.48892763602192707,1.046744176563032,0.48892763602192707,True,0.48892763602192707,A,2.045292444780423,0.044300319438441926,-1.0
2022-12-10,England,France,True,A,-20.54470735228051,0.3931209763551034,0.2809498046753658,0.32592921896953075,1.0891117942131043,0.3931209763551034,True,0.3931209763551034,H,2.543746226089719,0.43763122491104967,-1.0
2022-12-13,Argentina,Croatia,True,H,184.00652674450203,0.6519870982874457,0.21535767618673796,0.13265522552581632,0.8775105916523951,0.6519870982874457,False,0.6519870982874457,H,1.5337726814329133,-0.6381452574580225,0.5337726814329133
2022-12-14,France,Morocco,True,H,145.47784242009516,0.6061880245970963,0.23357705834825773,0.16023491705464585,0.9365228586135599,0.6061880245970963,False,0.6061880245970963,H,1.6496531759508963,-0.43466773284182747,0.6496531759508963
2022-12-17,Croatia,Morocco,True,H,49.447150139126734,0.48394693905029296,0.2690034122498402,0.24704964869986706,1.0498652987267993,0.48394693905029296,False,0.48394693905029296,H,2.0663422357054677,0.06424536449552401,1.0663422357054677
2022-12-18,Argentina,France,True,D,87.9758344635336,0.5339236714007886,0.2569782570110029,0.20909807158820856,1.0114395552297704,0.5339236714007886,True,0.5339236714007886,H,1.8729268874264844,-0.13600808711094176,-1.0
